"TmdbId","Id","Season Id","Season Number","Episode Number","Overview","Runtime","Still Path","Name"
"60863","1003849","60937","1","19","Karasuno's volleyball team makes it to the third round and they'll be facing off with Aoba Johsai. Seijoh, led by Oikawa, shows even more combination plays than they did in their practice match together. Meanwhile, the coach comes up with a formation to stop Oikawa's powerful serve. And before their match, Kageyama, who is Oikawa's junior from junior high, decides to...","24","/gWLznyPut2F5M1LNCPClzRW8OWN.jpg","Conductors"
"456","1004855","62103","26","11","Bart has a new accomplice and best friend when Homer is hypnotized at the circus and believes he is a young boy again.","22","/foBHq18TAcDDdrjEIirF2biVIFV.jpg","Bart's New Friend"
"456","1004856","62103","26","8","Homer has a mid-life crisis, takes up bass guitar and forms a cover band with some of the other dads in town. But the band's modest early success is soon overwhelmed by the breakout potential of their most unlikely star, Apu.","23","/5k8NptlSBObwBnYTzuqCuiwkAc9.jpg","Covercraft"
"60735","1005650","60523","1","2","Barry changes into the Flash when six gunmen storm a university event honoring a scientist, but his heroics don't match up to his expectations. Meanwhile, Iris becomes even more intrigued by the ""red streak.""","43","/mUgakZLNaMIjG63pz7VeJXJPMu4.jpg","Fastest Man Alive"
"60735","1005651","60523","1","3","Barry and the team go after the Mist, who possesses toxic gas powers, and they reflect on the night Caitlin's fiancé died. Meanwhile, Henry gets a long-awaited visit from Joe, and Iris and Eddie continue to keep their romance a secret from Joe.","43","/wY1omkKIuqZILjniPssbGlfZ0NY.jpg","Things You Can't Outrun"
"60735","1005652","60523","1","4","The Flash battles Captain Cold after the villain is involved in a robbery and plots to steal the Kahndaq Dynasty Diamond.","43","/flWYU25xy3KM5XxihrDV0cGvscp.jpg","Going Rogue"
"456","1005926","3605","24","14","Homer's obsession with the TV show ""Storage Battles"" leads the family to discover Grampa's past identity as ""Gorgeous Godfrey,"" the most feared, villainous man in pro-wrestling history","23","/1C3XmbNfxwvCFijUuvGJ78yt7no.jpg","Gorgeous Grampa"
"1668","1007805","4574","2","18","Chandler learns more about his new roommate, Eddie. Ross is stressed out to learn that Rachel had 'animal sex' with Paolo. Richard and Monica are uncomfortable to learn what their numbers of ex-lovers are. Joey's remarks to a fan magazine could cause him to lose his job playing Dr Ramoray.","23","/2CdJM0V4iUOYTrGbn7XZ0sfdmaG.jpg","The One Where Dr. Ramoray Dies"
"1668","1007806","4574","2","23","Phoebe's submariner ex-boyfriend visits New York on leave for 2 weeks from the Navy. Unfortunately, Phoebe catches chicken pox at Ben's first birthday party. When Monica realizes that Richard has no real neuroses, she worries that she is too strange for him. Chandler organizes a job as a processor for Joey.","23","/pVSXGWFFGGKs3iWDX8RZmtNJlDA.jpg","The One with the Chicken Pox"
"1668","1007807","4575","3","14","Phoebe is reunited with her former singing partner who thinks ""Smelly Cat"" has hit potential; Chandler dates a woman with a prosthetic leg who also has some history with Joey. Meanwhile, Ross goes to a fashion seminar with Rachel, so she won't go with Mark, but falls asleep in the middle of it.","23","/3Towvxh6qAtJycuJ7XW8GJQhB3N.jpg","The One with Phoebe's Ex-Partner"
"1668","1007808","4576","4","19","Ross proposes to Emily. Monica and Rachel try to win their apartment back from Chandler and Joey.","23","/qcJAFWAHCsjcrl4cxB9SLM5vek4.jpg","The One with All the Haste"
"1668","1007810","4578","6","5","Ross and Rachel try to get an annulment, but run into some legal obstacles. Joey finds keys to a Porsche in Central Perk and discovers some perks of being a fancy car owner. Meanwhile, Chandler, Monica and Phoebe babysit the triplets.","22","/itDy7O5nij71D7Z1MZXJjlLB9w0.jpg","The One with Joey's Porsche"
"60863","1010057","60937","1","20","The 3rd round Interhigh match against Aoba Johsai has begun. Without wasting any time, Kageyama and Oikawa start a setter battle. Well-experienced as a team, Aoba Johsai scores point after point against Karasuno with Oikawa's serves. Kageyama starts to panic. It's then that Karasuno's mood-maker, Tanak gets riled up. After seeing that, Oikawa...","24","/srSV43c6TejmvuJriWxnBFRmGeA.jpg","Oikawa Toru Is Not a Genius"
"60863","1010058","60937","1","21","Because Karasuno's plays become messy and the match's rhythm gets thrown off, they change setters. Sugawara goes onto the court in place of Kageyama and because he's always seen things from outside the court, he says he knows what's going on, and Karasuno starts their counterattack. Meanwhile, after seeing the match from the outside, there's a change in Kageyama as well.","24","/gMUXejexNSfzzjZS4SArj4MoxLb.jpg","Senpai's True Abilities"
"60863","1010059","60937","1","22","After being subbed back in Kageyama begins to try to communicate with each of his teammates. He begins to learn where the best setting point is for each of them, and Tsukishima comes up with a new attack that proves Karasuno can be a threat from all fronts.","24","/a1c8B6tOFLcAxjCHf98dQAApZFp.jpg","Evolution"
"60863","1010060","60937","1","23","Aoba Johsai begins to pull away in set 3, forcing Coach Ukai to make some drastic decisions. Yamaguchi is subbed in as an ace server, but the pressure proves to be too much to overcome. A service error occurs, but the error allows Karasuno to calm down and climb back within two.","24","/dKBddR63bTD8C3EXtG9nGQL4BJf.jpg","The Point that Changes the Momentum"
"60863","1010061","60937","1","24","Kageyama begins to match Toru point for point. The teams become dead even at 25 a piece. Long sets begin to drain both teams, and Toru acknowledges that Kageyama has realized what teamwork is all about and is no longer the solitary king. The game winning points are shown.","24","/yjl7D8tbhp39X8hLUKcbYPxE2DW.jpg","Removing The Solitary King"
"60863","1010062","60937","1","25","After suffering a heartbreaking loss to Aoba Johsai, the third years must decide if they will retire or participate in the spring tournament. Kageyama and Hinata vent their frustration on the court after their practice has been cancelled. The winner of the fall tournament is revealed, and Karasuno begins their first real practice to get ready for the spring tournament.","24","/eUzfwBrJU7pwdF8rpdGEOu6fT54.jpg","The Third Day"
"33880","1010422","62859","4","1","It's been three years since Zaheer poisoned Korra and the members of Team Avatar have moved on with their lives; Kai and Opal help a struggling Earth Kingdom town.","23","/5FMM9bvo6ENuq2SJS6XDKcDjsA8.jpg","After All These Years"
"1434","1010480","62024","13","2","Peter helps Joe fulfill his dream of getting a book published, only to take over as the writer. In the meantime, Brian develops an extreme thirst for exercise.","22","/orgpH3f0wX4vLsdkG1UwDH0mPtQ.jpg","The Book of Joe"
"1434","1010482","62024","13","3","Peter and Lois decide to open a cookie store, but Peter ruins things when he decides to bring clients in his own way.","22","/s04VL57qtN41cRvJLfeBBAjL2Nd.jpg","Baking Bad"
"60735","1010677","60523","1","5","After a bomb explodes downtown, the army rolls in and takes over. When Joe learns Iris is writing about 'The Streak' and tries unsuccessfully to have the story stopped, Barry decides to have The Flash pay her a visit.","43","/qg2A8gcBpuhEU7M3ZPxmRHGs5mX.jpg","Plastique"
"60735","1010678","60523","1","6","The Flash faces a new meta-human named Tony, who can turn himself into girded steel at will.","43","/z8AlWWt2cOcZNqonl0U1BSTzZWb.jpg","The Flash is Born"
"60735","1010679","60523","1","7","The Flash goes up against Farooq aka Blackout, a metahuman who can harness electricity.","43","/6RqDA0k2dcRTRcppZybXH14YJ6F.jpg","Power Outage"
"60735","1010680","60523","1","8","Barry is thrilled when Oliver, Felicity and Diggle come to Central City to investigate a case involving a deadly boomerang.

The crossover continues on Arrow S03E08 The Brave and the Bold.","43","/farB7p2uU1SdFHbHLOvOxMFrdrA.jpg","Flash vs. Arrow (I)"
"61459","1011044","62946","1","1","The whole world is about to change one quiet evening with the arrival of parasytes who devour human brains. One of their eggs lands at the home of Izumi Shinichi, a high school student. The hatched parasyte attacks Shinichi, but it faces unexpected resistance and fails to infiltrate his brain.","23","/b8xmC8J3MUb4knwo8F9u6orP6Wy.jpg","Metamorphosis"
"33880","1011239","62859","4","2","Korra's three-year journey of healing takes her to unexpected places.","23","/e5QJnXMYD0Fz8GnvaSYc9TNtj92.jpg","Korra Alone"
"43865","1011641","53133","2","1","A series of bombings takes place in Tokyo. After some analysis, the detectives figure out who the culprit is and his whereabouts, and head to his location. Akane wants to be cautious, but the other Inspectors decide to rush in, and...","28","/tKWVR3fL6UKi5FKJwlZLBN3dVSA.jpg","The Scales of Justice"
"1434","1012097","62024","13","4","Brian's cosmetic surgery leads him down a new career path as a real estate agent, which gets him into trouble with Quagmire.","22","/waTtR1eTbOZgtID804tNBZrT7rd.jpg","Brian the Closer"
"33880","1012265","62859","4","3","Prince Wu's big day is ruined by Kuvira; Korra thinks she may have found the key to a full recovery.","23","/fOEig2jRmm8NDtKWVDbz2pmDPK7.jpg","The Coronation"
"33880","1012266","62859","4","4","While the young airbenders look far and wide for Korra, Ikki is briefly captured by two Earth Empire soldiers. Based on what they say, Ikki leads the trio to the swamp. There, Korra is still haunted by visions of being hurt by her past enemies, but manages to connect to the siblings through the great banyan-grove tree's roots. After they beg her to resume her Avatar duties to face Kuvira, Toph's advice helps Korra to let go of her fears, bend the rest of the poison out of herself and re-enter the Avatar State.","23","/vmBXqMEwDSlEhhMdnkn42utHM3W.jpg","The Calling"
"43865","1012600","53133","2","2","An Enforcer from Division 2 was executed by a Dominator and an Inspector from the same division has gone missing. The only clue they have is the mysterious message “WC?” left at the crime scene. But who could commit a crime without being detected?","28","/4lgOsQurpOvjETwpbOHqMLyrM0F.jpg","The Creeping Unknown"
"456","1013042","3606","25","15","After Lisa's new pet guinea pig destroys the Simpsons' living room art, Marge finds a beautiful painting at the Van Houten's yard sale, which Homer snaps up for 20 bucks","23","/vcag4jIguXp54btonMAFhzjkWLA.jpg","The War of Art"
"456","1013043","3606","25","16","Homer is recruited as a World Cup referee after Lisa extols his integrity on the youth soccer field in a Springfield Elementary speech contest. But when the Simpsons travel to Brazil (again), Homer finds his honesty tested by one of South America's slickest gangsters in the soccer match-bribing business.","23","/c3h2qWeK83UUnDKTcl0WdrDuuzb.jpg","You Don't Have to Live Like a Referee"
"456","1013044","3606","25","22","Bart feels guilty after he wins the annual ""last day of school"" race around Springfield Elementary School, with help from Nelson, who beats up the frontrunner, Milhouse. Meanwhile, Homer tries to bring back 4th of July fireworks after they are canceled due to budget cuts.","22","/6NaLO2oegEFgRxdn1m81iHdox8r.jpg","The Yellow Badge of Cowardge"
"1434","1013212","62024","13","5","On the night before Thanksgiving, Brian and Peter drunkenly devour the holiday bird, and then must go out to find a replacement. In Peter absence, Chris attempts to step up and become the man of the house.","22","/8ZOiaXeYQIi61xu7rv48LoZr5QL.jpg","Turkey Guys"
"456","1013213","62103","26","10","During a trip to ""Dizzneeland"" the Simpsons board the wrong ride, Rocket To Your Doom, and are transported through the galaxy to Kang and Kodos' home planet, where they are held captive at the local zoo and the inhabitants decide to eat Homer.","23","/gfXvnNDrCQIj6wlSwAbUGC9KZPX.jpg","The Man Who Came to Be Dinner"
"33880","1013232","62859","4","5","Kuvira threatens Zaofu; Bolin is caught in the middle of the bad blood between Su Beifong and Kuvira.","23","/yZSgjeZafgqUYHWBYdfuSK8z9zO.jpg","Enemy at the Gates"
"33880","1013233","62859","4","6","Korra returns to her role as the Avatar, but is she really ready for action? Bolin and Varrick break from Kuvira's army.","23","/vKlISfDACYJxHnNJnJ3xkwmzXfw.jpg","The Battle of Zaofu"
"33880","1013234","62859","4","7","Korra returns to Republic City and Team Avatar faces their first mission together in three years when Prince Wu goes missing; Bolin and Varrick are on the lam.","23","/cNlLuS0Xfws3MgG1LeQvzm3uzmj.jpg","Reunion"
"33880","1013235","62859","4","8","In a clip show episode, Mako, Korra, and Bolin recollect their past. Mako tells Wu about his romantic entanglements and eventual breakup with Asami and Korra. Korra talks to Asami about her confrontations with Amon, Unalaq, Vaatu, and Zaheer. Varrick presents Bolin's life to the Earth Empire refugees in the style of an action film in which Bolin defeats all of Korra's previous enemies.","23","/yG0H77SCWKkB7L6VMeArYNgUseh.jpg","Remembrances"
"43865","1014349","53133","2","3","Right before Kitazawa was executed, he mentioned the name of someone who had supposedly been helping him. While others just think that he was crazy, Akane wants to get to the bottom of this case and tries to seek out help from someone.","28","/tWd3I4QCtk9Lz56fXCc7uG1pf45.jpg","The Devil’s Proof"
"43865","1016957","53133","2","4","A man occupies a mental care facility and starts acting violent, but Inspector Aoyanagi’s Dominator does not consider him a threat. As the Area Stress Level rises, Division 3 takes over the case and brings in a new armament to deal with the situation.","28","/57sz80NJ1kMYPWKbzgTeTLjMGWk.jpg","The Salvation of Job"
"43865","1016958","53133","2","5","The MSPWB has identified a possible hiding place for Kamui, and Divisions 1 and 3 are sent to the scene in order to investigate. Meanwhile, Akane has Saiga help with Representative Masuda’s interrogation.","28","/rCPJ2LZzkH53vPZj4WSPbCVM9wa.jpg","Unforbidden Games"
"456","1017187","62103","26","7","Bart schemes to bring down his new teacher, Mr. Lassen, who is a terrible bully. Meanwhile, The Simpsons go to Burning Man.","22","/42uQpr4nmvxyi5Hvk3RABXWxekO.jpg","Blazed and Confused"
"1434","1017825","62024","13","6","After running into Jesus at the Quahog Mall, Peter is stunned to discover that the Son of God is still a virgin. So, he enlists Quagmire and Cleveland to help him throw Jesus the best birthday ever by finding a way to help him become a man.","22","/68xsP0h41DkkHhhFVSODQMShrAO.jpg","The 2,000-Year-Old Virgin"
"456","1017851","62103","26","12","When inventor Elon Musk lands in Springfield, he and Homer become fast friends and revolutionize the town's nuclear plant. But when Musk goes overboard and Mr. Burns wants him removed, Homer must figure out a way to break up with him.","22","/esUqin6FhqYW7nqfZnnKFdMJBRb.jpg","The Musk Who Fell to Earth"
"43865","1018189","53133","2","6","The Military Drones hunt down the MWPSB detectives. While attempting to evacuate the detectives, Akane realizes what Kamui’s true objective is. Meanwhile, the Analysis Lab rushes to track down and deactivate the program that hacked the Drones.","28","/xCk8Vp8wVIND42SIy19Wh2Bmuko.jpg","Those Who Cast Stones"
"60735","1018354","60523","1","9","Barry enjoys the annual tradition of tree trimming and gift exchange with Joe and Iris. He gives Iris a touching gift, but the moment is interrupted by Eddie’s arrival.","45","/AkXPSqGqLl656FJKPANUxeO8rjt.jpg","The Man in the Yellow Suit"
"60735","1018355","60523","1","10","While Barry strives to become fast enough to defeat Reverse-Flash, Captain Cold returns to Central City with a partner and takes Caitlin hostage to force a confrontation with the Flash.","43","/AeqQiAxUWy3JwMqZyhwMwId7oSn.jpg","Revenge of the Rogues"
"45997","1019224","63495","1","1","When the lord of demons and his horde waged war against the humans in their realm, a hero vanquished their army. Cornered, the Devil fled through an interdimensional portal to Earth. He vows to one day reign again, but until then... he needs a job!","24","/bM0ApZxAfSLlcHg93jeDlaBWp2C.jpg","The Devil Arrives in Sasazuka"
"45997","1019225","63495","1","2","Emilia the hero finally tracks down the ruler of demons on Earth. Meanwhile, Sadao receives a mysterious text from Chiho warning that more earthquakes are on the way.","24","/deVDhZv0pEFbhS38tCBI5O3YpP0.jpg","The Hero Stays at the Devil's Castle for Work Reasons"
"45997","1019226","63495","1","3","Something supernatural seems to be going on with Chiho. Meanwhile, it's possible Maou seems to have a difficult time understanding certain concepts.","24","/5I16tFuQPc53vy5rDQ9yC6eZaWV.jpg","The Devil Goes on a Date with His Junior in Shinjuku"
"45997","1019227","63495","1","4","In the aftermath of the cave-in, Emi sees a side of Maou that doesn't jive with the demonic king. Meanwhile, everyone sees a side of the landlady that nobody could have expected.","24","/8mGjWPlwROVBe21NutxZOgz45Cx.jpg","The Hero Experiences Human Warmth"
"45997","1019228","63495","1","5","Lucifer is wrecking the neighborhood in a big way and he's brought along some unexpected friends! Meanwhile, Emi, Maou, and Ashiya do the impossible and try to work together!","24","/8ReEifytyZchTqh8Dc9eAai4EGQ.jpg","The Devil and the Hero Save Sasazuka"
"45997","1019229","63495","1","6","Back on Ente Isla, the other high priests find out about Olba's betrayal. Meanwhile, Lucifer's moved into the Devil's Castle.","24","/j1l4XiZhRUoZeRSw8FPTLyeq2xI.jpg","The Devil Climbs the Stairway to School"
"45997","1019230","63495","1","7","Maou and company find that a young lady named Suzuno has moved in next door. She is quick to make friends but Emi wonders what her motives are.","24","/b7vUzzwWm9fT9EltsrFU58dOvhD.jpg","The Devil's Budget Is Saved by Neighborliness"
"45997","1019231","63495","1","8","Big problems arise when when a new fast-food restaurant opens up. Meanwhile Emi and Suzuno have many miscommunication problems.","24","/7Pu6NucK2o6ofhbnoTwLFGradXt.jpg","The Hero Enters the Fray"
"45997","1019232","63495","1","9","Maou tries to handle the loss of business caused by the opening of a new restaurant. Meanwhile Emi and Suzuno need an impartial third party to resolve their dispute.","24","/5aqHRiH286YbgTyB6I7Aq1PEwqI.jpg","The Hero Experiences a Fray"
"45997","1019233","63495","1","10","It's a busy day at the local amusement park, with crowded restaurants, animals on the loose, scary ghosts, and a much-needed swimwear intervention. Meanwhile, Suzuno feels the presence of a white-winged being watching her.","24","/p60RYPHsAuFlocdtA2y3AeCmGJL.jpg","The Devil and the Hero Take a Break from the Daily Routine"
"45997","1019234","63495","1","11","An encounter with a stranger has Suzuno reconsidering her position on the Devil. Meanwhile, Yusa begins stalking Sadao and Shiro around town and learns that they are living good, humble lives.","24","/nXDNkjg6ybEZQgwFoMnefA3HlDO.jpg","The Hero Stays True to Her Convictions"
"45997","1019235","63495","1","12","The archangel Sariel is willing to torture people to get what he wants. Soon, Satan and Sariel engage in an aerial battle that destroys half of the city.","24","/sYfW8txJKVYwHyJPPa6Xb4yidPi.jpg","The Devil Carries Out His Duties"
"45997","1019236","63495","1","13","Ashiya has something he needs to talk to his master about in private. Meanwhile, Emi also has a strange dream where Satan conquers Sasakuza.","24","/feY0MMI5VzniNH7TYVVbqR6cFtr.jpg","The Devil and the Hero Do Some Honest Hard Work"
"61374","1019297","62764","1","2","Kaneki desperately fights the urge to eat human flesh, the only thing that can satisfy his hunger as a ghoul. He meets up with Hide again, joining him on an errand, and is glad for the companionship. But will his declining condition place Hide at risk?","24","/uX0qfRjcoNxAep09hLB9LmK8Vit.jpg","Incubation"
"61374","1019298","62764","1","3","Yoshimura teaches Kaneki more about how to blend in with mankind, and takes in a mother and daughter needing protection. Two ghoul investigators, Mado and Amon, are assigned to the 20th Ward. In response, Toka takes Kaneki out to have a mask made for him.","24","/5dKSDjopKgNMNuSSvvcUlQPLmUV.jpg","Dove"
"61374","1019299","62764","1","1","Amid news reports of ""Ghoul"" attacks nearby, Ken Kaneki points out Rize, a girl he is interested in, to his friend Hide at a local coffee shop. When Kaneki discovers the two share a favorite author, he asks her out. However, their date ends in tragedy!","24","/lmgWmpMd9XK7cgeqqrHLBfnplc1.jpg","Tragedy"
"61374","1019300","62764","1","4","Kaneki starts receiving self-defense lessons from Yomo. He meets Itori, who runs her own bar, and is friends with Uta and Yomo. Kaneki is befriended by Tsukiyama, a ghoul who knew Rize, who also enjoys reading, and possesses other, more epicurean tastes.","24","/zOyyq7UUQKsqBn4ShBOILRBhZjT.jpg","Supper"
"61374","1019301","62764","1","5","When Touka falls ill, Kaneki pays her a visit that has unexpected consequences. Meanwhile, as Nishiki is still recovering from his run-in with Kaneki, he is nearly preyed upon by other ghouls. Tsukiyama remains consumed with the idea of having Kaneki.","24","/rzbVuZ8hs67YxYgtuRE8elxke1U.jpg","Scars"
"61374","1019302","62764","1","6","The fight against Tsukiyama is resolved, but Touka wants to kill Kimi, now that it's clear she knows that Nishiki and Kaneki are ghouls. Meanwhile, Hinami is eager to see her father again after being apart for so long, and acts out when she is unable.","24","/ebG6mnCMqGEu9mVGZttgGJaCCUP.jpg","Cloudburst"
"61374","1019303","62764","1","7","After Kaneki and Hinami witness Ryoko's fate, the personnel at Anteiku are grieved, and Touka decides to take matters with the investigators into her own hands. Kaneki is fed up with not being able to do anything, and makes up his mind to become involved.","24","/gzc47ZP4u7JDCttwaLWtw4SVa3g.jpg","Captivity"
"61374","1019304","62764","1","8","Touka sets out to lure the ghoul investigators, but before she can strike, she finds that Hinami has run away. When Touka and Kaneki go out looking for her, they find themselves face to face with Amon and Mado, who has a few surprises of his own for them.","24","/6OX6ZDONloskho2g1rUfZNMS8oH.jpg","Circular"
"61374","1019305","62764","1","9","After several weeks go by, everyone tries to return to their normal lives. Hinami moves in with Touka, and despite her aversion to birds, they nurse an injured cockatiel they name Hetare back to health. Kaneki visits Itori to try to learn more about Rize.","24","/4tfZG8ktIrv3gWHGj8kAKqvFZmP.jpg","Birdcage"
"61374","1019306","62764","1","10","The 11th Ward offices of CCG are attacked by ghouls, wiping everyone out. Banjo and company stop in at Anteiku, looking for Rize to warn her to flee from Aogiri Tree, a new group of ghouls bent on taking over-- until Kaneki accidentally knocks him out!","24","/aUcbRwYTpMpbAYaUSJIBESY4GhR.jpg","Aogiri"
"61374","1019307","62764","1","11","Kaneki is held captive by Yamori, who practices his torturous craft on him. The police and CCG move in to deal with Aogiri Tree, who have made an 11th Ward shopping mall their headquarters. In all the commotion, the Anteiku team tries to rescue Kaneki.","24","/fZJ1mG6EM3ebv2y1kXWEizeBTpY.jpg","High Spirits"
"61374","1019308","62764","1","12","As Yamori continues to brutally torture Kaneki, Rize once again appears to him, and the two of them explore Kaneki's childhood and relationship with his mother. Kaneki is forced to make a choice that has a profound impact on him.","24","/hyuG6G4gmKiBOMj7Ewcrzu4d9hq.jpg","Ghoul"
"33880","1019896","62859","4","9","The spirit vines in Republic City start abducting people and it's up to Korra to figure out why.","23","/fgCiWg5JZpc3bcN2ttBxdSRvoA9.jpg","Beyond the Wilds"
"33880","1019897","62859","4","10","Bolin helps Opal and Lin save the Beifongs from Kuvira. Korra visits the Spirit World looking for help.","23","/o5FrsNhADbyfLhBzRQuGY1XZfbB.jpg","Operation Beifong"
"33880","1019898","62859","4","11","Korra and Team Avatar try to stop Kuvira from moving against Republic City; Kuvira unveils a deadly new weapon.","23","/ou6pnScKzH1IbaKgWetxCUAwy2R.jpg","Kuvira's Gambit"
"33880","1019899","62859","4","12","Team Avatar clashes with Kuvira on the streets of Republic City; Pema and Prince Wu help evacuate innocent citizens.","23","/2q280iSy1s3iyN0iF5OSMcUBCB9.jpg","Day of the Colossus"
"33880","1019900","62859","4","13","The fate of the Earth Kingdom and the Avatar's life is at stake, when Korra comes face to face with Kuvira.","23","/kbrMScIRyNPJOE6pj3QJo1MweQ1.jpg","The Last Stand"
"61663","1021694","63597","1","1","Kousei's life has been dull and gray. His friends Tsubaki and Watari try their best to cheer him up but there's not more color in his life; His eyes don't sparkle.  However, there's this new girl who might just be able to change all that.","23","/cYPVmRiaNK6A58q7A4XcZZoChnn.jpg","Monotone / Colorful"
"61663","1021695","63597","1","2","Kousei, Tsubaki & Watari sit down to watch Kaori's performance which ends up being completely unlike anything else they've seen. Kaori just seems to have a way with music completely different to how Kousei was taught.","23","/zWvtUp8LzM48V5svz4kmywTWnKk.jpg","Friend A"
"61663","1021696","63597","1","3","Kousei and Kaori spend some time together and get to talking about Kousei's past. Will he ever be able to play a piano again? What happens if he can never overcome his fear, will color ever return to his life?","23","/5jayyH4WigCrBCUFZWzqF4QmVtl.jpg","Inside Spring"
